Customer ID,Recency,Frequency,Monetary,Monetary_log,Frequency_log,Recency_scaled,Frequency_scaled,Monetary_scaled
12346,326,12,77556.46,11.258774359980725,2.5649493574615367,0.5955835512607377,1.2544959545938104,3.186624925127968
12347,2,8,5633.32,8.63663174483544,2.1972245773362196,-0.9522790918878471,0.8001660338568091,1.297126898401073
12348,75,5,2019.4,7.6110507905938976,1.791759469228055,-0.6035322617957277,0.2992073267345332,0.5581002802090212
12349,19,4,4428.69,8.39608488316401,1.6094379124341003,-0.8710640766609151,0.07394609082159041,1.1237904757983177
12350,310,1,334.4,5.815323849389109,0.6931471805599453,0.5191458898706842,-1.058145946714099,-0.7358882665423826
12351,375,1,300.93,5.710195202428391,0.6931471805599453,0.8296738892677769,-1.058145946714099,-0.8116432502100952
12352,36,10,2849.84,7.9553689666784315,2.3978952727983707,-0.7898490614339833,1.0480979277381186,0.8062136019330891
12353,204,2,406.76,6.010678766031786,1.0986122886681098,0.012746383161579257,-0.5571872395918231,-0.5951168503060144
12354,232,1,1079.4,6.985086621918461,0.6931471805599453,0.146512290594173,-1.058145946714099,0.10703478335829149
12355,214,2,947.61,6.854997755239065,1.0986122886681098,0.06051992153036274,-0.5571872395918231,0.013293636149089459
12356,23,6,6373.68,8.76008917268833,1.9459101490553132,-0.8519546613134018,0.48966298795922886,1.386089476166847
12357,33,3,18287.66,9.814036474622236,1.3862943611198906,-0.8041811229446183,-0.20175138038774237,2.1455566904121377
12358,2,5,3887.07,8.265668169533484,1.791759469228055,-0.9522790918878471,0.2992073267345332,1.0298130843193911
12359,58,10,8935.94,9.097948527696552,2.3978952727983707,-0.6847472770226596,1.0480979277381186,1.629548615617157
12360,52,8,4252.89,8.355589137409874,2.1972245773362196,-0.7134114000439297,0.8001660338568091,1.09460951849595
12361,287,4,511.25,6.238812787119009,1.6094379124341003,0.40926675162248216,0.07394609082159041,-0.4307250356946276
12362,3,11,5356.23,8.586202329437555,2.4849066497880004,-0.9475017380509687,1.15560189306089,1.260787806723553
12363,110,2,552.0,6.315358001522335,1.0986122886681098,-0.4363248775049855,-0.5571872395918231,-0.3755670779485127
12364,8,4,1313.1,7.180907299649593,1.6094379124341003,-0.923614968866577,0.07394609082159041,0.2481418238480768
12365,291,2,641.38,6.465180028897591,1.0986122886681098,0.42837616696999553,-0.5571872395918231,-0.26760635016403844
12366,634,1,500.24,6.217085028297085,0.6931471805599453,2.067008533019269,-1.058145946714099,-0.4463819100317048
12367,4,1,168.9,5.135210028677887,0.6931471805599453,-0.9427243842140904,-1.058145946714099,-1.225973632136558
12368,628,1,917.6999999999999,6.822959627277421,0.6931471805599453,2.038344409997999,-1.058145946714099,-0.009792819642406811
12369,413,3,1791.15,7.491171295388921,1.3862943611198906,1.0112133350691541,-0.20175138038774237,0.4717159362276892
